id,timestamp,method,path,http_headers,body,label
d0c3854a-a1f5-4337-bbd8-dfd89b159565,2026-02-24 09:43:15,DELETE,/vulnerable_endpoint?id=<img src=x onerror=alert(1)>,User-Agent: python-requests/2.25.1,<img src=x onerror=alert(1)>,attack
4875ad77-dbe2-4067-bfc4-3b315deecce9,2026-02-24 11:14:41,PUT,/vulnerable_endpoint?id=<img src=x onerror=alert(1)>,User-Agent: python-requests/2.25.1,<img src=x onerror=alert(1)>,attack
815f16ba-8983-46e2-9527-650d370ce03e,2026-02-25 05:28:28,POST,/products,User-Agent: Safari/537.36,field1=value1&field2=value2,normal
457dc7c9-b2bf-4bec-9682-5716e5de73c0,2026-02-24 23:54:04,GET,/contact,User-Agent: Mozilla/5.0 (X11; Linux x86_64),,normal
26ef5186-5213-4a44-801c-82d336bd4351,2026-02-24 18:47:43,POST,/vulnerable_endpoint?id=<?php system($_GET['cmd']); ?>,User-Agent: sqlmap/1.6,<?php system($_GET['cmd']); ?>,attack
5878e8ff-9d07-4e47-be23-f1fa6b7fd19c,2026-02-24 22:15:50,PUT,/vulnerable_endpoint?id=<script>alert('XSS')</script>,User-Agent: Mozilla/5.0 (compatible; Nmap Scripting Engine),<script>alert('XSS')</script>,attack
ca6f0e0f-bb02-4630-8cde-b191a5fa6159,2026-02-24 08:23:45,PUT,/vulnerable_endpoint?id=' OR 1=1 --,User-Agent: curl/7.68.0,' OR 1=1 --,attack
38dc4f0c-c843-40bf-a2cf-93264a007720,2026-02-24 09:46:13,GET,/vulnerable_endpoint?id=<script>alert('XSS')</script>,User-Agent: curl/7.68.0,<script>alert('XSS')</script>,attack
672e053b-2e91-428c-b947-2f17411192f1,2026-02-24 06:47:49,POST,/products,User-Agent: Mozilla/5.0 (X11; Linux x86_64),field1=value1&field2=value2,normal
73152020-bde3-4480-bf25-b36412657373,2026-02-24 17:26:43,GET,/vulnerable_endpoint?id=<script>alert('XSS')</script>,User-Agent: python-requests/2.25.1,<script>alert('XSS')</script>,attack
75a6c7e1-37fc-44cc-acd8-64552713ca20,2026-02-24 19:41:39,PUT,/vulnerable_endpoint?id=' OR 1=1 --,User-Agent: curl/7.68.0,' OR 1=1 --,attack
e00b8bd9-71b4-43cf-be9a-fb0a40df71f2,2026-02-24 09:59:43,PUT,/vulnerable_endpoint?id=SELECT * FROM users WHERE id = 1 OR 1=1,User-Agent: Nikto/2.1.6,SELECT * FROM users WHERE id = 1 OR 1=1,attack
fc2d5bfd-4a2b-454d-a733-7ae09a6844f1,2026-02-24 06:39:09,GET,/home,User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),,normal
f7361fa8-7501-43a6-8dd3-b08e6f75127f,2026-02-24 11:01:23,POST,/products?id=123,User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),field1=value1&field2=value2,normal
d9566b7d-7467-4114-86ac-cc6027f32825,2026-02-24 07:28:47,GET,/vulnerable_endpoint?id=<img src=x onerror=alert(1)>,User-Agent: curl/7.68.0,<img src=x onerror=alert(1)>,attack
4c63a072-3e75-4cca-9495-eec08a7f098c,2026-02-25 05:38:01,GET,/search?q=shoes,User-Agent: Chrome/120.0.0.0,,normal
f39eb3a0-014b-497e-a2ba-7f268b1ee4ac,2026-02-25 05:29:54,GET,/vulnerable_endpoint?id=/admin?user=admin'--,User-Agent: Nikto/2.1.6,/admin?user=admin'--,attack
f4648cb8-abe0-41de-81e9-f4cfb38e86fa,2026-02-25 06:12:28,POST,/api/v1/orders?status=completed,User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64),field1=value1&field2=value2,normal
bbccbf73-9e69-4405-bc4a-0fd51a4b1c5a,2026-02-25 09:50:55,POST,/vulnerable_endpoint?id=SELECT * FROM users WHERE id = 1 OR 1=1,User-Agent: sqlmap/1.6,SELECT * FROM users WHERE id = 1 OR 1=1,attack
cb7f90cf-f17d-4f75-9f5f-51a03cc1c694,2026-02-24 15:30:44,GET,/vulnerable_endpoint?id=' OR 1=1 --,User-Agent: Mozilla/5.0 (compatible; Nmap Scripting Engine),' OR 1=1 --,attack
bd53c52f-2fd2-4fa9-acb0-4833e160ef94,2026-02-24 22:42:45,POST,/products?id=123,User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),field1=value1&field2=value2,normal
77dea861-71d3-4121-bd1d-2603469029a5,2026-02-24 07:49:00,GET,/products?id=123,User-Agent: Safari/537.36,,normal
ca4b6160-1c7a-465d-b8e9-8b645f265ccd,2026-02-24 21:02:53,GET,/api/v1/orders?status=completed,User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64),,normal
a2ce8f60-5abd-4041-877a-a82151a2c3cd,2026-02-24 23:38:37,PUT,/vulnerable_endpoint?id=/admin?user=admin'--,User-Agent: Mozilla/5.0 (compatible; Nmap Scripting Engine),/admin?user=admin'--,attack
d4822d56-8264-4b20-a10a-c9ea902e27b9,2026-02-24 14:06:35,PUT,/vulnerable_endpoint?id=SELECT * FROM users WHERE id = 1 OR 1=1,User-Agent: sqlmap/1.6,SELECT * FROM users WHERE id = 1 OR 1=1,attack
74f254ee-bdfa-4cd5-9f4f-9ddb59ebe7d9,2026-02-24 16:43:03,POST,/vulnerable_endpoint?id=SELECT * FROM users WHERE id = 1 OR 1=1,User-Agent: sqlmap/1.6,SELECT * FROM users WHERE id = 1 OR 1=1,attack
615b236b-e148-4950-8170-184d33aa9316,2026-02-24 21:58:49,POST,/products,User-Agent: Chrome/120.0.0.0,field1=value1&field2=value2,normal
aa45dc9f-9116-4dc1-b5a0-973f4a5be65f,2026-02-24 13:10:15,POST,/search?q=shoes,User-Agent: Mozilla/5.0 (X11; Linux x86_64),field1=value1&field2=value2,normal
f991f5dd-477f-4bc6-b552-002df7992412,2026-02-25 01:09:55,POST,/vulnerable_endpoint?id=/admin?user=admin'--,User-Agent: python-requests/2.25.1,/admin?user=admin'--,attack
38382c93-352c-472e-9cb2-41e73f56fe78,2026-02-24 15:15:54,GET,/products,User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64),,normal
da892bca-c7b3-448c-9262-d1f3b45001ac,2026-02-24 22:02:40,DELETE,/vulnerable_endpoint?id=SELECT * FROM users WHERE id = 1 OR 1=1,User-Agent: sqlmap/1.6,SELECT * FROM users WHERE id = 1 OR 1=1,attack
9275c342-4545-4693-ba6d-5cd8afebbf33,2026-02-24 13:56:26,GET,/contact,User-Agent: Mozilla/5.0 (X11; Linux x86_64),,normal
66145626-7e78-41dd-b52a-c2525dd6c913,2026-02-25 08:57:57,DELETE,/vulnerable_endpoint?id=' OR 1=1 --,User-Agent: python-requests/2.25.1,' OR 1=1 --,attack
c06440cd-2f24-4aca-b2c1-c2c00896d73d,2026-02-25 05:12:34,POST,/products?id=123,User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64),field1=value1&field2=value2,normal
5353a5ff-5b92-4bdc-8c05-4415660bb61d,2026-02-24 17:43:22,DELETE,"/vulnerable_endpoint?id=UNION SELECT username, password FROM users --",User-Agent: Nikto/2.1.6,"UNION SELECT username, password FROM users --",attack
9f923f47-63be-4d6d-a301-1e4002071e70,2026-02-24 15:43:31,POST,/cart,User-Agent: Chrome/120.0.0.0,field1=value1&field2=value2,normal
9bdb3fb4-81c1-4f52-9518-0c8f1f7ff7fb,2026-02-25 00:42:48,PUT,/vulnerable_endpoint?id=<?php system($_GET['cmd']); ?>,User-Agent: Mozilla/5.0 (compatible; Nmap Scripting Engine),<?php system($_GET['cmd']); ?>,attack
f2eb5cb7-cb45-420c-9b0a-5637f5725a4b,2026-02-24 07:59:16,POST,/vulnerable_endpoint?id=<script>alert('XSS')</script>,User-Agent: Mozilla/5.0 (compatible; Nmap Scripting Engine),<script>alert('XSS')</script>,attack
