method,url,headers,body,label
POST,/product?lang=123,"User-Agent: Mozilla/6.0
X-Request-ID: wIpsvmnq",,0
POST,/api/user,"User-Agent: Mozilla/4.0
X-Request-ID: jliUOunQ",search=%7C%20whoami,1
GET,/search?file=item45,"User-Agent: Mozilla/4.0
X-Request-ID: pBPbGarw",,0
PUT,/product,"User-Agent: Mozilla/4.0
X-Request-ID: ilWehgll",lang=/etc/shadow,1
GET,/api/user,"User-Agent: Mozilla/4.0
X-Request-ID: KaGuivkt",page=| whoami,1
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: YfdCDPlz",search=../../../../windows/win.ini,1
GET,/blog?username=laptop,"User-Agent: Mozilla/5.0
X-Request-ID: nTSaCvhi",,0
PUT,/api/user?search=%27%20OR%201%3D1%20--,"User-Agent: Mozilla/4.0
X-Request-ID: IJJztpMj",,1
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: spNBNwnx",id=<img src=x onerror=alert(1)>,1
POST,/search,"User-Agent: Mozilla/6.0
X-Request-ID: zUjhXYkC",page=' OR 1=1 --,1
POST,/checkout,"User-Agent: Mozilla/5.0
X-Request-ID: uGtilFkT","q=' UNION SELECT NULL,NULL --",1
PUT,/checkout?q=laptop,"User-Agent: Mozilla/4.0
X-Request-ID: oeHSIGpL",,0
POST,/blog?q=<svg/onload=alert(1)>,"User-Agent: Mozilla/6.0
X-Request-ID: uqfIwTHf",,1
GET,/search?username=true,"User-Agent: Mozilla/4.0
X-Request-ID: flGuXbBH",,0
POST,/login?username=english,"User-Agent: Mozilla/5.0
X-Request-ID: diLjcCKF",,0
PUT,/checkout?lang=%27%20OR%20%27a%27%3D%27a,"User-Agent: Mozilla/5.0
X-Request-ID: qeMcvhrc",,1
POST,/blog?lang=true,"User-Agent: Mozilla/4.0
X-Request-ID: KQoFRLiu",,0
GET,/checkout?page=iphone,"User-Agent: Mozilla/6.0
X-Request-ID: mhSKcomg",,0
POST,/login?page=john,"User-Agent: Mozilla/5.0
X-Request-ID: tgEJkYBw",,0
PUT,/search,"User-Agent: Mozilla/5.0
X-Request-ID: KIWOBCkN",q=%3Csvg/onload%3Dalert%281%29%3E,1
PUT,/blog?search=category1,"User-Agent: Mozilla/5.0
X-Request-ID: EwnDwWfR",,0
PUT,/login?q=&& cat /etc/passwd,"User-Agent: Mozilla/6.0
X-Request-ID: tcNhQAHv",,1
