method,url,headers,body,user_agent,label
DELETE,/api/v1/users,Host: example.com; Accept: */*,input=../../../../etc/passwd,Nikto/2.1.6,1
DELETE,/index.php,Host: example.com; Accept: */*,input=../../../../etc/passwd,Nikto/2.1.6,1
POST,/api/v1/users,Host: example.com; Accept: */*,input=http://169.254.169.254/latest/meta-data,Nikto/2.1.6,1
POST,/admin,Host: example.com; Accept: */*,input=../../../../etc/passwd,Nikto/2.1.6,1
POST,/cart,Host: example.com; Accept: */*,username=user867&password=pass275,Mozilla/5.0 (Linux; Android 11),0
POST,/products?id=123,Host: example.com; Accept: */*,username=user459&password=pass647,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
GET,/profile,Host: example.com; Accept: */*,,Mozilla/5.0 (Linux; Android 11),0
POST,/admin,Host: example.com; Accept: */*,"input=' UNION SELECT NULL,NULL--",Nikto/2.1.6,1
DELETE,/blog/article-1,Host: example.com; Accept: */*,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
DELETE,/admin,Host: example.com; Accept: */*,input=; ls -la,Nmap Scripting Engine,1
POST,/,Host: example.com; Accept: */*,username=user321&password=pass430,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
PUT,/login,Host: example.com; Accept: */*,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
DELETE,/api/v1/users,Host: example.com; Accept: */*,input=; ls -la,Nikto/2.1.6,1
PUT,/home,Host: example.com; Accept: */*,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
PUT,/search,Host: example.com; Accept: */*,input=http://127.0.0.1:8080/admin,Nmap Scripting Engine,1
POST,/cart,Host: example.com; Accept: */*,username=user444&password=pass514,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
GET,/login?q=http://127.0.0.1:8080/admin,Host: example.com; Accept: */*,,Nikto/2.1.6,1
DELETE,/api/v1/users,Host: example.com; Accept: */*,input=admin'--,curl/7.68.0,1
DELETE,/,Host: example.com; Accept: */*,,Mozilla/5.0 (Linux; Android 11),0
POST,/login,Host: example.com; Accept: */*,username=user740&password=pass787,Mozilla/5.0 (Linux; Android 11),0
DELETE,/api/v1/users,Host: example.com; Accept: */*,input=' OR 'x'='x,Nmap Scripting Engine,1
GET,/api/v1/users?q=; ls -la,Host: example.com; Accept: */*,,curl/7.68.0,1
POST,/api/v1/users,Host: example.com; Accept: */*,input=' OR 'x'='x,sqlmap/1.5.2,1
GET,/admin?q=http://169.254.169.254/latest/meta-data,Host: example.com; Accept: */*,,Nikto/2.1.6,1
POST,/index.php,Host: example.com; Accept: */*,"input=' UNION SELECT NULL,NULL--",sqlmap/1.5.2,1
DELETE,/checkout,Host: example.com; Accept: */*,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
PUT,/blog/article-1,Host: example.com; Accept: */*,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
GET,/search?q=http://169.254.169.254/latest/meta-data,Host: example.com; Accept: */*,,Nikto/2.1.6,1
PUT,/api/v1/users,Host: example.com; Accept: */*,input=http://169.254.169.254/latest/meta-data,Nikto/2.1.6,1
PUT,/api/v1/users,Host: example.com; Accept: */*,,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
GET,/search?q=phone,Host: example.com; Accept: */*,,Mozilla/5.0 (Linux; Android 11),0
PUT,/admin,Host: example.com; Accept: */*,"input=' UNION SELECT NULL,NULL--",sqlmap/1.5.2,1
DELETE,/login,Host: example.com; Accept: */*,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
DELETE,/admin,Host: example.com; Accept: */*,input=' OR 'x'='x,Nmap Scripting Engine,1
GET,/login?q=; ls -la,Host: example.com; Accept: */*,,sqlmap/1.5.2,1
GET,/login?q=admin'--,Host: example.com; Accept: */*,,Nikto/2.1.6,1
