method,url,headers,body,label
PUT,/images?search=%7C%20whoami,"User-Agent: Mozilla/5.0
X-Request-ID: bNnuL1b4M3K3",,1
GET,/login,"User-Agent: Mozilla/5.0
X-Request-ID: uz5GtBX1MBl6",q=%3Csvg/onload%3Dalert%281%29%3E,1
GET,/api/user?id=drop shipping business,"User-Agent: Mozilla/5.0
X-Request-ID: Doi8HYM8ja3z",,0
GET,/product?lang=%26%26%20cat%20/etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: Qi0RrjxrouVl",,1
GET,/blog?id=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: ynzLoVTSNply",,0
PUT,/api/user?search=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: f5Iq0UmsBLYP",,0
POST,/product?q=%2526%2526%2520cat%2520/etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: 0r5QgzGb5gNT",,1
POST,/images?query=/etc/shadow,"User-Agent: Mozilla/5.0
X-Request-ID: m4xVMM3KoKXm",,1
PUT,/docs?ref=john_doe_1998,"User-Agent: Mozilla/5.0
X-Request-ID: lEYsXypqHezq",,0
GET,/login?q=script analysis tool,"User-Agent: Mozilla/5.0
X-Request-ID: c8yYL7jVdaEM",,0
POST,/blog?lang=%24%28whoami%29,"User-Agent: Mozilla/5.0
X-Request-ID: geuCuKKwhKmv",,1
PUT,/search?ref=%2527%2520AND%2520SLEEP%25285%2529--,"User-Agent: Mozilla/5.0
X-Request-ID: 9U3ppXuWDKBi",,1
PUT,/images?q=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: pivH4AdGeIYf",,0
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: WigPWqrMLFlq","username=' UNION SELECT NULL,NULL --",1
POST,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: UbtqwuVFYZon",file=alert%2528String.fromCharCode%252888%252C83%252C83%2529%2529,1
PUT,/checkout?id=%26%26%20cat%20/etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: 60M5h0OpifYD",,1
POST,/api/user?id=../images/banner.png,"User-Agent: Mozilla/5.0
X-Request-ID: dduhk8EggByK",,0
PUT,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: 1YcQjo82wMZY",username=$(whoami),1
GET,/checkout?lang=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: iMAD3TtvNCO9",,0
GET,/search?lang=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: p8gG4BoPwwMF",,0
GET,/api/user?ref=%7C%20whoami,"User-Agent: Mozilla/5.0
X-Request-ID: 9rcYIfMZbEpT",,1
GET,/login,"User-Agent: Mozilla/5.0
X-Request-ID: 14kM6x17qYVB",search=<img src=x onerror=alert(1)>,1
POST,/blog?page=john_doe_1998,"User-Agent: Mozilla/5.0
X-Request-ID: HuKzL4103NqD",,0
GET,/checkout?id=1 OR TRUE,"User-Agent: Mozilla/5.0
X-Request-ID: sRQNPHtDjoAM",,1
POST,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: pBnAgdRTSXJ0",username=$(whoami),1
GET,/blog?page=drop shipping business,"User-Agent: Mozilla/5.0
X-Request-ID: qT1gHtaYAjmi",,0
PUT,/blog?username=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: 8gJJEUGoVXZD",,0
POST,/images?query=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: a6sGoiUn0ZYv",,0
PUT,/images,"User-Agent: Mozilla/5.0
X-Request-ID: uEFcjKzmQb9T",ref=| whoami,1
PUT,/checkout?ref=%24%28whoami%29,"User-Agent: Mozilla/5.0
X-Request-ID: sfBDJZQAK16M",,1
PUT,/product?id=alert%28String.fromCharCode%2888%2C83%2C83%29%29,"User-Agent: Mozilla/5.0
X-Request-ID: W7WXH2nLLeck",,1
GET,/docs?query=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: iH1vU07DdwwP",,0
GET,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: ylH7XUsnXLGP",search='; DROP TABLE users; --,1
PUT,/product?file=orchestra concert,"User-Agent: Mozilla/5.0
X-Request-ID: 93Gi4ZrFkyRC",,0
PUT,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: Tmg6VUHegq8A",id=alert%2528String.fromCharCode%252888%252C83%252C83%2529%2529,1
PUT,/images?page=%2527%2520UNION%2520SELECT%2520NULL%252CNULL%2520--,"User-Agent: Mozilla/5.0
X-Request-ID: zzlJUY52Zo2Y",,1
POST,/docs?username=%2527%2520AND%2520SLEEP%25285%2529--,"User-Agent: Mozilla/5.0
X-Request-ID: PI2wMRd5RVus",,1
GET,/product?lang=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: gWz14G4LWdUh",,0
PUT,/login?search=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: HPD7Eqm9bfcV",,0
PUT,/checkout?ref=100%25 organic food,"User-Agent: Mozilla/5.0
X-Request-ID: 0YzxtF3xiw3g",,0
GET,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: 6Ly5h7Ca3coJ",query=<script>alert(1)</script>,1
POST,/images?query=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: Wd27X9i3IU1F",,0
PUT,/search?page=$(whoami),"User-Agent: Mozilla/5.0
X-Request-ID: ALpsvgh6vGdT",,1
PUT,/blog?file=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: 2nwlktJ3HOxq",,0
PUT,/blog?ref=summer_sale_2025,"User-Agent: Mozilla/5.0
X-Request-ID: 05XXJ4h9hNWu",,0
GET,/login?q=&& cat /etc/passwd,"User-Agent: Mozilla/5.0
X-Request-ID: ZLn89P5ARhqk",,1
PUT,/checkout?q=%24%28whoami%29,"User-Agent: Mozilla/5.0
X-Request-ID: vAyximG7TSE0",,1
PUT,/checkout,"User-Agent: Mozilla/5.0
X-Request-ID: t6S7WvxoWFQ4","query=' UNION SELECT NULL,NULL --",1
POST,/api/user,"User-Agent: Mozilla/5.0
X-Request-ID: g0Qsm7yInwVD",search=../../etc/passwd,1
GET,/images?id=data%20science%20course,"User-Agent: Mozilla/5.0
X-Request-ID: FJwNT9BnEOTf",,0
GET,/product?search=%27%3B%20DROP%20TABLE%20users%3B%20--,"User-Agent: Mozilla/5.0
X-Request-ID: gGbMQ9A3LhMW",,1
POST,/images,"User-Agent: Mozilla/5.0
X-Request-ID: uMPOoMi5hDpR",file=%253B%2520ls%2520-la,1
PUT,/images?file=%253Cscript%253Ealert%25281%2529%253C/script%253E,"User-Agent: Mozilla/5.0
X-Request-ID: LrNCahjyHPw7",,1
PUT,/blog,"User-Agent: Mozilla/5.0
X-Request-ID: 8MqsK7uNXVVZ","q=alert(String.fromCharCode(88,83,83))",1
GET,/images?lang=john_doe_1998,"User-Agent: Mozilla/5.0
X-Request-ID: UTY4ZtYMrl1i",,0
PUT,/search?query=filename=report_v2.pdf,"User-Agent: Mozilla/5.0
X-Request-ID: Hw05vdKNTI6L",,0
GET,/blog?query=%2527%2520AND%2520SLEEP%25285%2529--,"User-Agent: Mozilla/5.0
X-Request-ID: COqbyxnQr8FN",,1
GET,/search?page=select union workers,"User-Agent: Mozilla/5.0
X-Request-ID: Y02HCfCQ9atZ",,0
GET,/docs?q=selective filtering,"User-Agent: Mozilla/5.0
X-Request-ID: xKDLSFuw0Rv9",,0
GET,/docs,"User-Agent: Mozilla/5.0
X-Request-ID: IHHuVQPLU6Jn",search=%3Csvg/onload%3Dalert%281%29%3E,1
PUT,/docs?ref=category=electronics&sort=asc,"User-Agent: Mozilla/5.0
X-Request-ID: DP0zmDaRqt5F",,0
PUT,/search?search=%27%20OR%201%3D1%20--,"User-Agent: Mozilla/5.0
X-Request-ID: 5QC9zAso5P35",,1
GET,/login,"User-Agent: Mozilla/5.0
X-Request-ID: PBbvy0N3ZMqP",file=%253Csvg/onload%253Dalert%25281%2529%253E,1
