=== Random forest categorical test | backend=ONNXRuntime ===

Category                                           | Type     | Expected | Pred     | Conf   | Time (ms) | Status
-------------------------------------------------------------------------------------------------------------------
SQL Injection (Basic)                              | RAW      | ATTACK   | ATTACK   | 1.0000 |    14.19 | ✅
SQL Injection (Basic)                              | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.67 | ✅
SQL Injection (UNION-based)                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
SQL Injection (UNION-based)                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.96 | ✅
SQL Injection (Error-based)                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.12 | ✅
SQL Injection (Error-based)                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.96 | ✅
SQL Injection (Boolean Blind)                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
SQL Injection (Boolean Blind)                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.09 | ✅
SQL Injection (Time-based Blind)                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.09 | ✅
SQL Injection (Time-based Blind)                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.01 | ✅
SQL Injection (Postgres Sleep)                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
SQL Injection (Postgres Sleep)                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
SQL Injection (Hex Bypass)                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
SQL Injection (Hex Bypass)                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.21 | ✅
SQL Injection (Comment Obfuscation)                | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.40 | ✅
SQL Injection (Comment Obfuscation)                | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.67 | ✅
SQL Injection (Stacked Queries)                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.57 | ✅
SQL Injection (Stacked Queries)                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.41 | ✅
NoSQL Injection (MongoDB GT)                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.17 | ✅
NoSQL Injection (MongoDB GT)                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
NoSQL Injection (Where Clause)                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
NoSQL Injection (Where Clause)                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Reflected XSS                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Reflected XSS                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.32 | ✅
XSS via Image Attributes                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.26 | ✅
XSS via Image Attributes                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.06 | ✅
XSS via SVG Path                                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.44 | ✅
XSS via SVG Path                                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.22 | ✅
XSS via Javascript Protocol                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
XSS via Javascript Protocol                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
XSS via Body Tag                                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
XSS via Body Tag                                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
XSS with Double Encoding                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
XSS with Double Encoding                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
XSS via Iframe srcdoc                              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
XSS via Iframe srcdoc                              | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
XSS via HTML5 Vector                               | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
XSS via HTML5 Vector                               | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
XSS via Tabbed Protocol                            | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
XSS via Tabbed Protocol                            | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.96 | ✅
Command Injection (Basic)                          | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.93 | ✅
Command Injection (Basic)                          | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.36 | ✅
Command Injection (Piping)                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Command Injection (Piping)                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.28 | ✅
Command Injection (Subshell)                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Command Injection (Subshell)                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
Command Injection (Backticks)                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.06 | ✅
Command Injection (Backticks)                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.80 | ✅
Command Injection (Logical OR)                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.70 | ✅
Command Injection (Logical OR)                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.19 | ✅
Command Injection (New line)                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.37 | ✅
Command Injection (New line)                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.84 | ✅
Path Traversal (Basic)                             | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Path Traversal (Basic)                             | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Path Traversal (Null Byte)                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     5.90 | ✅
Path Traversal (Null Byte)                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.01 | ✅
Path Traversal (URL Encoded)                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Path Traversal (URL Encoded)                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Path Traversal (Double URL Enc)                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
Path Traversal (Double URL Enc)                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
Local File Inclusion (PHP Filter)                  | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.39 | ✅
Local File Inclusion (PHP Filter)                  | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.82 | ✅
Local File Inclusion (Input Wrapper)               | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.20 | ✅
Local File Inclusion (Input Wrapper)               | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.12 | ✅
Remote File Inclusion                              | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.33 | ✅
Remote File Inclusion                              | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.52 | ✅
Server-Side Request Forgery (Metadata)             | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
